7/04/2020,Front Squat Slow Descent,7,79,,Clean and Jerk
7/04/2020,Front Squat Slow Descent,6,81,,Clean and Jerk
7/04/2020,Front Squat Slow Descent,5,83,,Clean and Jerk
7/04/2020,Front Squat Slow Descent,4,85,,Clean and Jerk
7/04/2020,Power Snatch Pause,3,30,,Snatch
7/04/2020,Power Snatch Pause,3,40,,Snatch
7/04/2020,Power Snatch Pause,3,50,,Snatch
7/04/2020,Power Snatch Pause,3,53,,Snatch
7/04/2020,Power Snatch Pause,3,54,,Snatch
7/04/2020,Power Snatch Pause,3,56,,Snatch
7/04/2020,Power Snatch Pause,3,57,,Snatch
7/04/2020,Power Snatch Pause,3,59,,Snatch
7/04/2020,Snatch Pull Hover,6,62,,Snatch
7/04/2020,Snatch Pull Hover,6,64,,Snatch
7/04/2020,Snatch Pull Hover,5,65,,Snatch
7/04/2020,Snatch Pull Hover,5,67,,Snatch
7/04/2020,Snatch Pull Hover,5,69,,Snatch
7/04/2020,Seated Press,5,41,,Snatch
7/04/2020,Seated Press,5,42,,Snatch
7/04/2020,Seated Press,5,44,,Snatch
7/04/2020,Seated Press,5,45,,Snatch
7/04/2020,Seated Press,5,47,,Snatch
9/04/2020,Overhead Squat,3,30,,Snatch
9/04/2020,Overhead Squat,3,40,,Snatch
9/04/2020,Overhead Squat,3,50,,Snatch
9/04/2020,Overhead Squat,3,56,,Snatch
9/04/2020,Overhead Squat,3,57,,Snatch
9/04/2020,Overhead Squat,3,59,,Snatch
9/04/2020,Overhead Squat,3,61,,Snatch
9/04/2020,Overhead Squat,3,62,,Snatch
9/04/2020,Jerk Long Hold,3,66,,Clean and Jerk
9/04/2020,Jerk Long Hold,3,67,,Clean and Jerk
9/04/2020,Jerk Long Hold,3,69,,Clean and Jerk
9/04/2020,Jerk Long Hold,3,71,,Clean and Jerk
9/04/2020,Jerk Long Hold,3,73,,Clean and Jerk
9/04/2020,Clean Pull Slow Lower,5,73,,Clean and Jerk
9/04/2020,Clean Pull Slow Lower,5,75,,Clean and Jerk
9/04/2020,Clean Pull Slow Lower,5,77,,Clean and Jerk
9/04/2020,Clean Pull Slow Lower,5,79,,Clean and Jerk
9/04/2020,Clean Pull Slow Lower,5,81,,Clean and Jerk
9/04/2020,Back Squat Rapid,10,60,,Clean and Jerk
9/04/2020,Back Squat Rapid,8,60,,Clean and Jerk
9/04/2020,Back Squat Rapid,7,62,,Clean and Jerk
9/04/2020,Back Squat Rapid,6,63,,Clean and Jerk
9/04/2020,Back Squat Rapid,5,65,,Clean and Jerk
12/04/2020,Power Snatch,3,30,,Snatch
12/04/2020,Power Snatch,3,40,,Snatch
12/04/2020,Power Snatch,3,50,,Snatch
12/04/2020,Power Snatch,3,55,,Snatch
12/04/2020,Power Snatch,3,56,,Snatch
12/04/2020,Power Snatch,3,58,,Snatch
12/04/2020,Power Snatch,3,59,,Snatch
12/04/2020,Power Snatch,3,61,,Snatch
12/04/2020,Power Clean and Jerk,3,50,,Clean and Jerk
12/04/2020,Power Clean and Jerk,3,60,,Clean and Jerk
12/04/2020,Power Clean and Jerk,3,65,,Clean and Jerk
12/04/2020,Power Clean and Jerk,3,68,,Clean and Jerk
12/04/2020,Power Clean and Jerk,3,70,,Clean and Jerk
12/04/2020,Power Clean and Jerk,3,72,,Clean and Jerk
12/04/2020,Power Clean and Jerk,2,74,,Clean and Jerk
12/04/2020,Power Clean and Jerk,2,75,,Clean and Jerk
12/04/2020,Back Squat,5,50,,Clean and Jerk
12/04/2020,Back Squat,5,60,,Clean and Jerk
12/04/2020,Back Squat,5,70,,Clean and Jerk
12/04/2020,Back Squat,5,80,,Clean and Jerk
12/04/2020,Back Squat,5,84,,Clean and Jerk
12/04/2020,Back Squat,5,86,,Clean and Jerk
12/04/2020,Back Squat,5,89,,Clean and Jerk
12/04/2020,Back Squat,5,90,,Clean and Jerk
12/04/2020,Back Squat,5,83,,Clean and Jerk
12/04/2020,Seated Press,7,36,,Clean and Jerk
12/04/2020,Seated Press,6,37,,Clean and Jerk
12/04/2020,Seated Press,5,38,,Clean and Jerk
12/04/2020,Seated Press,5,40,,Clean and Jerk
12/04/2020,Seated Press,5,41,,Clean and Jerk
16/04/2020,Front Squat,5,20,,Clean and Jerk
16/04/2020,Front Squat,5,40,,Clean and Jerk
16/04/2020,Front Squat,5,50,,Clean and Jerk
16/04/2020,Front Squat,5,60,,Clean and Jerk
16/04/2020,Front Squat,5,60,,Clean and Jerk
16/04/2020,Front Squat,5,60,,Clean and Jerk
16/04/2020,Front Squat,5,60,,Clean and Jerk
16/04/2020,Front Squat,5,60,,Clean and Jerk
16/04/2020,Snatch Pull Hover,5,60,,Snatch
16/04/2020,Snatch Pull Hover,5,60,,Snatch
16/04/2020,Snatch Pull Hover,5,60,,Snatch
16/04/2020,Snatch Pull Hover,5,60,,Snatch
16/04/2020,Snatch Pull Hover,5,60,,Snatch
16/04/2020,Seated Press,5,45,,Clean and Jerk
16/04/2020,Seated Press,5,45,,Clean and Jerk
16/04/2020,Seated Press,5,45,,Clean and Jerk
16/04/2020,Seated Press,5,45,,Clean and Jerk
16/04/2020,Seated Press,5,45,,Clean and Jerk
19/04/2020,Squat,5,20,,Clean and Jerk
19/04/2020,Squat,5,40,,Clean and Jerk
19/04/2020,Squat,5,60,,Clean and Jerk
19/04/2020,Squat,5,70,,Clean and Jerk
19/04/2020,Squat,5,80,,Clean and Jerk
19/04/2020,Squat,5,80,,Clean and Jerk
19/04/2020,Squat,5,80,,Clean and Jerk
19/04/2020,Squat,5,80,,Clean and Jerk
19/04/2020,Squat,5,80,,Clean and Jerk
19/04/2020,Clean Pull,5,60,,Clean and Jerk
19/04/2020,Clean Pull,5,80,,Clean and Jerk
19/04/2020,Clean Pull,5,80,,Clean and Jerk
19/04/2020,Clean Pull,5,80,,Clean and Jerk
19/04/2020,Clean Pull,5,80,,Clean and Jerk
19/04/2020,Clean Pull,5,80,,Clean and Jerk
19/04/2020,Seated Press,5,45,,Clean and Jerk
19/04/2020,Seated Press,5,45,,Clean and Jerk
19/04/2020,Seated Press,5,45,,Clean and Jerk
19/04/2020,Seated Press,5,45,,Clean and Jerk
19/04/2020,Seated Press,5,45,,Clean and Jerk
21/04/2020,Front Squat,3,20,,Clean and Jerk
21/04/2020,Front Squat,3,40,,Clean and Jerk
21/04/2020,Front Squat,3,60,,Clean and Jerk
21/04/2020,Front Squat,3,80,,Clean and Jerk
21/04/2020,Front Squat,3,100,,Clean and Jerk
21/04/2020,Front Squat,1,105,,Clean and Jerk
21/04/2020,Snatch Pull Hover,3,60,,Snatch
21/04/2020,Snatch Pull Hover,3,80,,Snatch
21/04/2020,Snatch Pull Hover,3,80,,Snatch
21/04/2020,Snatch Pull Hover,3,80,,Snatch
21/04/2020,Snatch Pull Hover,3,80,,Snatch
21/04/2020,Snatch Pull Hover,3,80,,Snatch
21/04/2020,Seated Press,5,46,,Clean and Jerk
21/04/2020,Seated Press,5,46,,Clean and Jerk
21/04/2020,Seated Press,5,46,,Clean and Jerk
21/04/2020,Seated Press,5,46,,Clean and Jerk
21/04/2020,Seated Press,5,46,,Clean and Jerk
21/04/2020,Good Morning,5,40,,Clean and Jerk
21/04/2020,Good Morning,5,40,,Clean and Jerk
21/04/2020,Good Morning,5,40,,Clean and Jerk
21/04/2020,Good Morning,5,40,,Clean and Jerk
21/04/2020,Good Morning,5,40,,Clean and Jerk
23/04/2020,Back Squat,5,20,,Clean and Jerk
23/04/2020,Back Squat,5,40,,Clean and Jerk
23/04/2020,Back Squat,5,60,,Clean and Jerk
23/04/2020,Back Squat,5,80,,Clean and Jerk
23/04/2020,Back Squat,3,90,,Clean and Jerk
23/04/2020,Back Squat,3,92,,Clean and Jerk
23/04/2020,Back Squat,3,94,,Clean and Jerk
23/04/2020,Back Squat,3,96,,Clean and Jerk
23/04/2020,Back Squat,3,98,,Clean and Jerk
23/04/2020,Back Squat,3,100,,Clean and Jerk
23/04/2020,Back Squat,5,90,,Clean and Jerk
23/04/2020,Clean Pull,5,60,,Clean and Jerk
23/04/2020,Clean Pull,5,80,,Clean and Jerk
23/04/2020,Clean Pull,5,90,,Clean and Jerk
23/04/2020,Clean Pull,5,90,,Clean and Jerk
23/04/2020,Clean Pull,5,90,,Clean and Jerk
23/04/2020,Clean Pull,5,90,,Clean and Jerk
23/04/2020,Clean Pull,5,90,,Clean and Jerk
23/04/2020,Seated Press,5,47,,Clean and Jerk
23/04/2020,Seated Press,5,47,,Clean and Jerk
23/04/2020,Seated Press,5,47,,Clean and Jerk
23/04/2020,Seated Press,5,47,,Clean and Jerk
23/04/2020,Seated Press,5,47,,Clean and Jerk
26/04/2020,Front Squat,3,20,,Clean and Jerk
26/04/2020,Front Squat,3,40,,Clean and Jerk
26/04/2020,Front Squat,3,60,,Clean and Jerk
26/04/2020,Front Squat,3,80,,Clean and Jerk
26/04/2020,Front Squat,3,80,,Clean and Jerk
26/04/2020,Front Squat,3,80,,Clean and Jerk
26/04/2020,Front Squat,3,80,,Clean and Jerk
26/04/2020,Front Squat,3,80,,Clean and Jerk
26/04/2020,Front Squat,1,90,,Clean and Jerk
26/04/2020,Front Squat,1,100,,Clean and Jerk
26/04/2020,Snatch Pull Hover,3,60,,Snatch
26/04/2020,Snatch Pull Hover,3,70,,Snatch
26/04/2020,Snatch Pull Hover,3,80,,Snatch
26/04/2020,Snatch Pull Hover,3,80,,Snatch
26/04/2020,Snatch Pull Hover,3,80,,Snatch
26/04/2020,Snatch Pull Hover,3,80,,Snatch
26/04/2020,Snatch Pull Hover,3,80,,Snatch
26/04/2020,Snatch Balance,3,20,,Snatch
26/04/2020,Snatch Balance,3,40,,Snatch
26/04/2020,Snatch Balance,3,50,,Snatch
26/04/2020,Snatch Balance,3,60,,Snatch
26/04/2020,Snatch Balance,3,60,,Snatch
26/04/2020,Snatch Balance,3,60,,Snatch
26/04/2020,Snatch Balance,3,60,,Snatch
26/04/2020,Snatch Balance,3,60,,Snatch
26/04/2020,Seated Press,5,48,,Clean and Jerk
26/04/2020,Seated Press,5,48,,Clean and Jerk
26/04/2020,Seated Press,5,48,,Clean and Jerk
