Date,Exercise,Reps,Weight,
23/06/2020,Snatch Pull,3,102,
23/06/2020,Snatch Pull,3,95,
,,,,
23/06/2020,Back Squat,3,50,
23/06/2020,Back Squat,3,70,
23/06/2020,Back Squat,3,80,
23/06/2020,Back Squat,3,90,
23/06/2020,Back Squat,3,95,
23/06/2020,Back Squat,3,100,
23/06/2020,Back Squat,3,105,
23/06/2020,Back Squat,3,107,
,,,,
23/06/2020,Press Behind the Neck,3,20,
23/06/2020,Press Behind the Neck,3,40,
23/06/2020,Press Behind the Neck,3,40,
23/06/2020,Press Behind the Neck,3,40,
23/06/2020,Press Behind the Neck,3,40,
23/06/2020,Press Behind the Neck,3,40,
,,,,
25/06/2020,Snatch,2,20,
25/06/2020,Snatch,2,40,
25/06/2020,Snatch,2,50,
25/06/2020,Snatch,2,60,
25/06/2020,Snatch,2,65,
25/06/2020,Snatch,2,70,
25/06/2020,Snatch,2,75,
25/06/2020,Snatch,2,77,
25/06/2020,Snatch,2,80,
,,,,
25/06/2020,Clean and Jerk,2,50,
25/06/2020,Clean and Jerk,2,70,
25/06/2020,Clean and Jerk,2,80,
25/06/2020,Clean and Jerk,2,85,
25/06/2020,Clean and Jerk,2,90,
25/06/2020,Clean and Jerk,2,92,
25/06/2020,Clean and Jerk,2,94,
,,,,
25/06/2020,Clean Pull,3,90,
25/06/2020,Clean Pull,3,100,
25/06/2020,Clean Pull,3,110,
25/06/2020,Clean Pull,3,115,
25/06/2020,Clean Pull,3,115,
25/06/2020,Clean Pull,3,115,
,,,,
25/06/2020,Back Squat,3,50,
25/06/2020,Back Squat,3,70,
25/06/2020,Back Squat,3,90,
25/06/2020,Back Squat,3,100,
25/06/2020,Back Squat,3,105,
25/06/2020,Back Squat,3,110,
25/06/2020,Back Squat,3,115,
25/06/2020,Back Squat,3,118,
,,,,
25/06/2020,Good Morning,5,40,
25/06/2020,Good Morning,5,40,
,,,,
28/06/2020,Half Front Squat,3,20,
28/06/2020,Half Front Squat,3,40,
28/06/2020,Half Front Squat,3,50,
28/06/2020,Half Front Squat,3,50,
28/06/2020,Half Front Squat,3,50,
28/06/2020,Half Front Squat,3,50,
28/06/2020,Half Front Squat,3,50,
,,,,
28/06/2020,Hang Clean Pull ,5,50,
28/06/2020,Hang Clean Pull ,5,90,
28/06/2020,Hang Clean Pull ,5,100,
28/06/2020,Hang Clean Pull ,5,105,
28/06/2020,Hang Clean Pull ,5,105,
28/06/2020,Hang Clean Pull ,5,105,
,,,,
28/06/2020,Back Squat,3,50,
28/06/2020,Back Squat,2,90,
28/06/2020,Back Squat,2,100,
28/06/2020,Back Squat,2,110,
28/06/2020,Back Squat,2,115,
28/06/2020,Back Squat,2,120,
,,,,
28/06/2020,Press in Split,5,45,
28/06/2020,Press in Split,5,45,
28/06/2020,Press in Split,5,45,
28/06/2020,Press in Split,5,45,
28/06/2020,Press in Split,5,45,
,,,,
30/06/2020,Snatch,3,20,
30/06/2020,Snatch,2,40,
30/06/2020,Snatch,2,50,
30/06/2020,Snatch,2,60,
30/06/2020,Snatch,2,70,
30/06/2020,Snatch,1,75,
30/06/2020,Snatch,1,80,
30/06/2020,Snatch,1,83,
30/06/2020,Snatch,1,85,
30/06/2020,Snatch,1,87,
30/06/2020,Snatch,1,88,
,,,,
30/06/2020,Clean and Jerk,2,50,
30/06/2020,Clean and Jerk,2,70,
30/06/2020,Clean and Jerk,1,90,
30/06/2020,Clean and Jerk,1,100,
30/06/2020,Clean and Jerk,1,103,
30/06/2020,Clean and Jerk,1,105,
,,,,
30/06/2020,Clean Pull,3,100,
30/06/2020,Clean Pull,3,110,
30/06/2020,Clean Pull,3,115,
30/06/2020,Clean Pull,3,115,
30/06/2020,Clean Pull,3,115,
,,,,
30/06/2020,Back Squat,3,50,
30/06/2020,Back Squat,3,70,
30/06/2020,Back Squat,2,90,
30/06/2020,Back Squat,2,100,
30/06/2020,Back Squat,2,105,
30/06/2020,Back Squat,2,110,
30/06/2020,Back Squat,3,110,
30/06/2020,Back Squat,3,110,
,,,,
02/07/2020,Power Snatch,3,40,
02/07/2020,Power Snatch,3,50,
02/07/2020,Power Snatch,3,60,
02/07/2020,Power Snatch,3,63,
02/07/2020,Power Snatch,2,68,
02/07/2020,Power Snatch,2,65,
02/07/2020,Power Snatch,2,65,
02/07/2020,Power Snatch,2,65,
,,,,
02/07/2020,Power Clean,3,60,
02/07/2020,Power Clean,3,70,
02/07/2020,Power Clean,3,80,
02/07/2020,Power Clean,3,85,
02/07/2020,Power Clean,2,88,
02/07/2020,Power Clean,2,90,
02/07/2020,Power Clean,2,92,
02/07/2020,Power Clean,1,94,
02/07/2020,Power Clean,1,96,
02/07/2020,Power Clean,1,98,
,,,,
02/07/2020,Jerk from Rack,3,50,
02/07/2020,Jerk from Rack,3,60,
02/07/2020,Jerk from Rack,3,70,
02/07/2020,Jerk from Rack,3,80,
02/07/2020,Jerk from Rack,3,85,
02/07/2020,Jerk from Rack,3,90,
02/07/2020,Jerk from Rack,3,95,
,,,,
02/07/2020,Front Squat,5,50,
02/07/2020,Front Squat,3,70,
02/07/2020,Front Squat,3,80,
02/07/2020,Front Squat,3,90,
02/07/2020,Front Squat,3,95,
02/07/2020,Front Squat,2,100,
02/07/2020,Front Squat,1,103,
02/07/2020,Front Squat,1,105,
,,,,
02/07/2020,Press Behind the Neck,3,20,
02/07/2020,Press Behind the Neck,3,45,
02/07/2020,Press Behind the Neck,3,45,
02/07/2020,Press Behind the Neck,3,45,
02/07/2020,Press Behind the Neck,3,45,
02/07/2020,Press Behind the Neck,3,45,
,,,,
07/07/2020,Power Snatch,5,20,
07/07/2020,Power Snatch,4,40,
07/07/2020,Power Snatch,3,50,
07/07/2020,Power Snatch,2,60,
07/07/2020,Power Snatch,2,65,
07/07/2020,Power Snatch,2,65,
07/07/2020,Power Snatch,2,65,
07/07/2020,Power Snatch,2,65,
,,,,
07/07/2020,Power Clean,3,50,
07/07/2020,Power Clean,2,70,
07/07/2020,Power Clean,2,80,
07/07/2020,Power Clean,2,83,
07/07/2020,Power Clean,2,83,
07/07/2020,Power Clean,2,83,
07/07/2020,Power Clean,2,83,
,,,,
07/07/2020,Jerk from Rack,3,50,
07/07/2020,Jerk from Rack,3,70,
07/07/2020,Jerk from Rack,3,75,
07/07/2020,Jerk from Rack,3,78,
07/07/2020,Jerk from Rack,3,78,
07/07/2020,Jerk from Rack,3,78,
,,,,
07/07/2020,Front Squat,3,70,
07/07/2020,Front Squat,3,80,
07/07/2020,Front Squat,3,90,
07/07/2020,Front Squat,3,95,
07/07/2020,Front Squat,3,98,
07/07/2020,Front Squat,3,101,
,,,,
07/07/2020,Press Behind the Neck,3,45,
07/07/2020,Press Behind the Neck,3,45,
07/07/2020,Press Behind the Neck,3,45,
07/07/2020,Press Behind the Neck,3,45,
07/07/2020,Press Behind the Neck,3,45,
,,,,
09/07/2020,Snatch,5,20,
09/07/2020,Snatch,3,40,
09/07/2020,Snatch,3,50,
09/07/2020,Snatch,2,60,
09/07/2020,Snatch,2,70,
09/07/2020,Snatch,1,75,
09/07/2020,Snatch,1,78,
09/07/2020,Snatch,1,80,
,,,,
09/07/2020,Clean and Jerk,3,50,
09/07/2020,Clean and Jerk,2,60,
09/07/2020,Clean and Jerk,2,70,
09/07/2020,Clean and Jerk,2,80,
09/07/2020,Clean and Jerk,2,90,
09/07/2020,Clean and Jerk,1,95,
09/07/2020,Clean and Jerk,1,98,
09/07/2020,Clean and Jerk,1,100,
,,,,
09/07/2020,Clean Pull,3,105,
09/07/2020,Clean Pull,3,110,
09/07/2020,Clean Pull,3,110,
09/07/2020,Clean Pull,3,115,
09/07/2020,Clean Pull,3,115,
,,,,
09/07/2020,Back Squat,3,50,
09/07/2020,Back Squat,3,70,
09/07/2020,Back Squat,3,90,
09/07/2020,Back Squat,3,100,
09/07/2020,Back Squat,3,105,
09/07/2020,Back Squat,2,110,
09/07/2020,Back Squat,2,115,
,,,,
12/07/2020,Snatch Balance,5,20,
12/07/2020,Snatch Balance,5,40,
12/07/2020,Snatch Balance,5,50,
12/07/2020,Snatch Balance,5,60,
12/07/2020,Snatch Balance,2,65,
12/07/2020,Snatch Balance,2,65,
12/07/2020,Snatch Balance,2,65,
,,,,
12/07/2020,Clean,3,50,
12/07/2020,Clean,3,60,
12/07/2020,Clean,3,70,
12/07/2020,Clean,2,80,
12/07/2020,Clean,2,80,
12/07/2020,Clean,2,80,
,,,,
12/07/2020,Front Squat,3,50,
12/07/2020,Front Squat,3,60,
12/07/2020,Front Squat,2,70,
12/07/2020,Front Squat,2,80,
12/07/2020,Front Squat,2,80,
12/07/2020,Front Squat,2,80,
,,,,
12/07/2020,Press in Split,3,40,
12/07/2020,Press in Split,3,40,
12/07/2020,Press in Split,3,40,
12/07/2020,Press in Split,3,40,
12/07/2020,Press in Split,3,40,
,,,,
14/07/2020,Power Snatch,5,20,
14/07/2020,Power Snatch,3,40,
14/07/2020,Power Snatch,3,50,
14/07/2020,Power Snatch,3,60,
14/07/2020,Power Snatch,2,65,
14/07/2020,Power Snatch,1,68,
14/07/2020,Power Snatch,1,68,
14/07/2020,Power Snatch,1,68,
,,,,
14/07/2020,Power Clean and Jerk,3,50,
14/07/2020,Power Clean and Jerk,3,70,
14/07/2020,Power Clean and Jerk,3,80,
14/07/2020,Power Clean and Jerk,1,85,
14/07/2020,Power Clean and Jerk,1,88,
14/07/2020,Power Clean and Jerk,1,88,
14/07/2020,Power Clean and Jerk,1,88,
,,,,
14/07/2020,Front Squat,3,50,
14/07/2020,Front Squat,3,70,
14/07/2020,Front Squat,3,90,
14/07/2020,Front Squat,2,100,
14/07/2020,Front Squat,1,105,
14/07/2020,Front Squat,1,108,
14/07/2020,Front Squat,1,110,
,,,,
16/07/2020,Power Snatch,3,20,
16/07/2020,Power Snatch,3,30,
16/07/2020,Power Snatch,3,40,
16/07/2020,Power Snatch,3,50,
16/07/2020,Power Snatch,3,50,
16/07/2020,Power Snatch,3,50,
,,,,
16/07/2020,Power Clean,3,50,
16/07/2020,Power Clean,3,60,
16/07/2020,Power Clean,3,70,
16/07/2020,Power Clean,3,70,
16/07/2020,Power Clean,3,70,
,,,,
16/07/2020,Front Squat,3,70,
16/07/2020,Front Squat,3,70,
16/07/2020,Front Squat,3,70,
,,,,
18/07/2020,Snatch,3,30,
18/07/2020,Snatch,3,40,
18/07/2020,Snatch,2,50,
18/07/2020,Snatch,2,60,
18/07/2020,Snatch,2,65,
18/07/2020,Snatch,1,70,
18/07/2020,Snatch,1,74,
18/07/2020,Snatch,1,76,
18/07/2020,Snatch,1,78,
18/07/2020,Snatch,1,80,
18/07/2020,Snatch,1,82,1
18/07/2020,Snatch,1,85,2
18/07/2020,Snatch,1,88,3
,,,,
18/07/2020,Clean and Jerk,3,40,
18/07/2020,Clean and Jerk,3,55,
18/07/2020,Clean and Jerk,2,65,
18/07/2020,Clean and Jerk,2,75,
18/07/2020,Clean and Jerk,1,85,
18/07/2020,Clean and Jerk,1,91,
18/07/2020,Clean and Jerk,1,96,
18/07/2020,Clean and Jerk,1,100,1
18/07/2020,Clean and Jerk,1,105,2
18/07/2020,Clean and Jerk,1,109,3
,,,,
21/07/2020,Power Snatch,5,20,
21/07/2020,Power Snatch,3,40,
21/07/2020,Power Snatch,3,50,
21/07/2020,Power Snatch,3,55,
21/07/2020,Power Snatch,3,60,
21/07/2020,Power Snatch,3,65,
21/07/2020,Power Snatch,3,60,
21/07/2020,Power Snatch,3,60,
,,,,
21/07/2020,Snatch Pull,3,70,
21/07/2020,Snatch Pull,3,80,
21/07/2020,Snatch Pull,3,90,
21/07/2020,Snatch Pull,3,90,
21/07/2020,Snatch Pull,3,90,
,,,,
21/07/2020,Jerk from Rack,3,20,
21/07/2020,Jerk from Rack,3,50,
21/07/2020,Jerk from Rack,3,70,
21/07/2020,Jerk from Rack,3,75,
21/07/2020,Jerk from Rack,3,80,
21/07/2020,Jerk from Rack,3,80,
21/07/2020,Jerk from Rack,3,80,
,,,,
21/07/2020,Back Squat,5,20,
21/07/2020,Back Squat,5,50,
21/07/2020,Back Squat,5,70,
21/07/2020,Back Squat,5,80,
21/07/2020,Back Squat,5,90,
21/07/2020,Back Squat,5,90,
21/07/2020,Back Squat,5,90,
,,,,
21/07/2020,Push Press,3,40,
21/07/2020,Push Press,3,50,
21/07/2020,Push Press,3,55,
21/07/2020,Push Press,3,60,
21/07/2020,Push Press,3,65,
21/07/2020,Push Press,1,70,
21/07/2020,Push Press,1,80,
21/07/2020,Push Press,1,90,
,,,,
23/07/2020,Snatch Balance,3,20,
23/07/2020,Snatch Balance,3,40,
23/07/2020,Snatch Balance,3,50,
23/07/2020,Snatch Balance,3,60,
23/07/2020,Snatch Balance,3,70,
23/07/2020,Snatch Balance,3,80,
23/07/2020,Snatch Balance,3,80,
23/07/2020,Snatch Balance,3,83,
,,,,
23/07/2020,Clean,3,50,
23/07/2020,Clean,3,70,
23/07/2020,Clean,3,80,
23/07/2020,Clean,3,90,
23/07/2020,Clean,3,95,
,,,,
23/07/2020,Clean Pull,3,90,
23/07/2020,Clean Pull,3,100,
23/07/2020,Clean Pull,3,110,
23/07/2020,Clean Pull,3,115,
23/07/2020,Clean Pull,3,120,
23/07/2020,Clean Pull,3,100,
23/07/2020,Clean Pull,3,100,
23/07/2020,Clean Pull,3,100,
,,,,
23/07/2020,Front Squat,3,50,
23/07/2020,Front Squat,3,70,
23/07/2020,Front Squat,3,90,
23/07/2020,Front Squat,3,95,
23/07/2020,Front Squat,3,100,
23/07/2020,Front Squat,2,103,
23/07/2020,Front Squat,3,90,
23/07/2020,Front Squat,3,90,
23/07/2020,Front Squat,3,90,
,,,,
26/07/2020,Snatch Balance,3,20,
26/07/2020,Snatch Balance,3,40,
26/07/2020,Snatch Balance,3,60,
26/07/2020,Snatch Balance,3,80,
26/07/2020,Snatch Balance,1,85,
26/07/2020,Snatch Balance,1,90,
26/07/2020,Snatch Balance,1,90,
26/07/2020,Snatch Balance,1,90,
,,,,
26/07/2020,Clean,3,60,
26/07/2020,Clean,3,80,
26/07/2020,Clean,3,85,
26/07/2020,Clean,3,85,
26/07/2020,Clean,3,85,
,,,,
26/07/2020,Clean Pull,3,90,
26/07/2020,Clean Pull,3,110,
26/07/2020,Clean Pull,3,110,
26/07/2020,Clean Pull,3,110,
,,,,
26/07/2020,Front Squat,3,60,
26/07/2020,Front Squat,3,80,
26/07/2020,Front Squat,3,90,
26/07/2020,Front Squat,3,90,
26/07/2020,Front Squat,3,90,
