Date,Exercise,Reps,Weight,
,,,,
12/04/2020,Power Clean and Jerk,3,50,
12/04/2020,Power Clean and Jerk,3,60,
12/04/2020,Power Clean and Jerk,3,65,
12/04/2020,Power Clean and Jerk,3,68,
12/04/2020,Power Clean and Jerk,3,70,
12/04/2020,Power Clean and Jerk,3,72,
12/04/2020,Power Clean and Jerk,2,74,
12/04/2020,Power Clean and Jerk,2,75,
,,,,
12/04/2020,Back Squat,5,50,
12/04/2020,Back Squat,5,60,
12/04/2020,Back Squat,5,70,
12/04/2020,Back Squat,5,80,
12/04/2020,Back Squat,5,84,
12/04/2020,Back Squat,5,86,
12/04/2020,Back Squat,5,89,
12/04/2020,Back Squat,5,90,
12/04/2020,Back Squat,5,83,
,,,,
12/04/2020,Seated Press,7,36,
12/04/2020,Seated Press,6,37,
12/04/2020,Seated Press,5,38,
12/04/2020,Seated Press,5,40,
12/04/2020,Seated Press,5,41,
,,,,
16/04/2020,Front Squat,5,20,
16/04/2020,Front Squat,5,40,
16/04/2020,Front Squat,5,50,
16/04/2020,Front Squat,5,60,
16/04/2020,Front Squat,5,60,
16/04/2020,Front Squat,5,60,
16/04/2020,Front Squat,5,60,
16/04/2020,Front Squat,5,60,
,,,,
16/04/2020,Snatch Pull Hover,5,60,
16/04/2020,Snatch Pull Hover,5,60,
16/04/2020,Snatch Pull Hover,5,60,
16/04/2020,Snatch Pull Hover,5,60,
16/04/2020,Snatch Pull Hover,5,60,
,,,,
16/04/2020,Seated Press,5,45,
16/04/2020,Seated Press,5,45,
16/04/2020,Seated Press,5,45,
16/04/2020,Seated Press,5,45,
16/04/2020,Seated Press,5,45,
,,,,
19/04/2020,Squat,5,20,
19/04/2020,Squat,5,40,
19/04/2020,Squat,5,60,
19/04/2020,Squat,5,70,
19/04/2020,Squat,5,80,
19/04/2020,Squat,5,80,
19/04/2020,Squat,5,80,
19/04/2020,Squat,5,80,
19/04/2020,Squat,5,80,
,,,,
19/04/2020,Clean Pull,5,60,
19/04/2020,Clean Pull,5,80,
19/04/2020,Clean Pull,5,80,
19/04/2020,Clean Pull,5,80,
19/04/2020,Clean Pull,5,80,
19/04/2020,Clean Pull,5,80,
,,,,
19/04/2020,Seated Press,5,45,
19/04/2020,Seated Press,5,45,
19/04/2020,Seated Press,5,45,
19/04/2020,Seated Press,5,45,
19/04/2020,Seated Press,5,45,
,,,,
21/04/2020,Front Squat,3,20,
21/04/2020,Front Squat,3,40,
21/04/2020,Front Squat,3,60,
21/04/2020,Front Squat,3,80,
21/04/2020,Front Squat,3,100,
21/04/2020,Front Squat,1,105,
,,,,
21/04/2020,Snatch Pull Hover,3,60,
21/04/2020,Snatch Pull Hover,3,80,
21/04/2020,Snatch Pull Hover,3,80,
21/04/2020,Snatch Pull Hover,3,80,
21/04/2020,Snatch Pull Hover,3,80,
21/04/2020,Snatch Pull Hover,3,80,
,,,,
21/04/2020,Seated Press,5,46,
21/04/2020,Seated Press,5,46,
21/04/2020,Seated Press,5,46,
21/04/2020,Seated Press,5,46,
21/04/2020,Seated Press,5,46,
,,,,
21/04/2020,Good Morning,5,40,
21/04/2020,Good Morning,5,40,
21/04/2020,Good Morning,5,40,
21/04/2020,Good Morning,5,40,
21/04/2020,Good Morning,5,40,
,,,,
23/04/2020,Squat,5,20,
23/04/2020,Squat,5,40,
23/04/2020,Squat,5,60,
23/04/2020,Squat,5,80,
23/04/2020,Squat,3,90,
23/04/2020,Squat,3,92,
23/04/2020,Squat,3,94,
23/04/2020,Squat,3,96,
23/04/2020,Squat,3,98,
23/04/2020,Squat,3,100,
23/04/2020,Squat,5,90,
,,,,
23/04/2020,Clean Pull,5,60,
23/04/2020,Clean Pull,5,80,
23/04/2020,Clean Pull,5,90,
23/04/2020,Clean Pull,5,90,
23/04/2020,Clean Pull,5,90,
23/04/2020,Clean Pull,5,90,
23/04/2020,Clean Pull,5,90,
,,,,
23/04/2020,Seated Press,5,47,
23/04/2020,Seated Press,5,47,
23/04/2020,Seated Press,5,47,
23/04/2020,Seated Press,5,47,
23/04/2020,Seated Press,5,47,
,,,,
26/04/2020,Front Squat,3,20,
26/04/2020,Front Squat,3,40,
26/04/2020,Front Squat,3,60,
26/04/2020,Front Squat,3,80,
26/04/2020,Front Squat,3,80,
26/04/2020,Front Squat,3,80,
26/04/2020,Front Squat,3,80,
26/04/2020,Front Squat,3,80,
26/04/2020,Front Squat,1,90,
26/04/2020,Front Squat,1,100,
,,,,
26/04/2020,Snatch Pull Hover,3,60,
26/04/2020,Snatch Pull Hover,3,70,
26/04/2020,Snatch Pull Hover,3,80,
26/04/2020,Snatch Pull Hover,3,80,
26/04/2020,Snatch Pull Hover,3,80,
26/04/2020,Snatch Pull Hover,3,80,
26/04/2020,Snatch Pull Hover,3,80,
,,,,
26/04/2020,Snatch Balance,3,20,
26/04/2020,Snatch Balance,3,40,
26/04/2020,Snatch Balance,3,50,
26/04/2020,Snatch Balance,3,60,
26/04/2020,Snatch Balance,3,60,
26/04/2020,Snatch Balance,3,60,
26/04/2020,Snatch Balance,3,60,
26/04/2020,Snatch Balance,3,60,
,,,,
26/04/2020,Seated Press,5,48,
26/04/2020,Seated Press,5,48,
26/04/2020,Seated Press,5,48,
26/04/2020,Seated Press,5,48,
26/04/2020,Seated Press,5,48,
,,,,
27/04/2020,Squat,5,20,
27/04/2020,Squat,5,40,
27/04/2020,Squat,5,60,
27/04/2020,Squat,5,60,
27/04/2020,Squat,5,60,
27/04/2020,Squat,5,60,
27/04/2020,Squat,5,60,
27/04/2020,Squat,5,70,
,,,,
28/04/2020,Squat,3,20,
28/04/2020,Squat,3,40,
28/04/2020,Squat,3,60,
28/04/2020,Squat,3,80,
28/04/2020,Squat,3,100,
28/04/2020,Squat,3,105,
28/04/2020,Squat,3,110,
28/04/2020,Squat,3,115,
,,,,
28/04/2020,Clean Pull,3,60,
28/04/2020,Clean Pull,3,80,
28/04/2020,Clean Pull,3,100,
28/04/2020,Clean Pull,3,110,
28/04/2020,Clean Pull,3,110,
28/04/2020,Clean Pull,3,110,
,,,,
28/04/2020,Seated Press,5,48,
28/04/2020,Seated Press,5,48,
28/04/2020,Seated Press,5,48,
28/04/2020,Seated Press,5,48,
28/04/2020,Seated Press,5,48,
28/04/2020,Seated Press,10,40,
,,,,
29/04/2020,Front Squat,3,20,
29/04/2020,Front Squat,3,40,
29/04/2020,Front Squat,3,50,
29/04/2020,Front Squat,3,60,
29/04/2020,Front Squat,3,60,
29/04/2020,Front Squat,3,60,
29/04/2020,Front Squat,3,60,
29/04/2020,Front Squat,3,60,
,,,,
30/04/2020,Front Squat,3,20,
30/04/2020,Front Squat,3,40,
30/04/2020,Front Squat,3,60,
30/04/2020,Front Squat,3,80,
30/04/2020,Front Squat,3,90,
30/04/2020,Front Squat,3,100,
30/04/2020,Front Squat,1,105,
,,,,
30/04/2020,Snatch Pull,3,60,
30/04/2020,Snatch Pull,3,70,
30/04/2020,Snatch Pull,3,80,
30/04/2020,Snatch Pull,3,90,
30/04/2020,Snatch Pull,3,100,
30/04/2020,Snatch Pull,3,100,
30/04/2020,Snatch Pull,3,100,
,,,,
30/04/2020,Seated Press,10,20,
30/04/2020,Seated Press,10,20,
30/04/2020,Seated Press,10,20,
,,,,
30/04/2020,Russian Twist,15,5,
30/04/2020,Russian Twist,15,5,
30/04/2020,Russian Twist,15,5,
,,,,
02/05/2020,Squat,3,20,
02/05/2020,Squat,3,40,
02/05/2020,Squat,3,60,
02/05/2020,Squat,3,80,
02/05/2020,Squat,3,90,
02/05/2020,Squat,3,90,
02/05/2020,Squat,3,90,
02/05/2020,Squat,3,90,
02/05/2020,Squat,3,90,
,,,,
05/05/2020,Snatch,3,20,
05/05/2020,Snatch,3,30,
05/05/2020,Snatch,3,40,
05/05/2020,Snatch,3,50,
05/05/2020,Snatch,3,60,
